alignment_family,case_id,tool,repeat,seed,status,shared_input_hash,config_hash,native_total_cycles,native_mean_latency,native_p95_latency,native_utilization_percent,runtime_wall_seconds,evidence_level,comparison_boundary,raw_path,source_path,source_sha256,metric_definition
4x4 WS hold-out,holdout_rect_64x384x128,STAGE,0,40,completed,shape_and_frozen_mapping_contract,764bce7677c7bc4e36461844023834f2d3f34020d2a1c4305bbc32acc688d418,206848,,,95.5223880597015,,Trend,Independent schedulers; cross-tool timing is Trend evidence,raw/stage/holdout_rect_64x384x128/r0/result.json,experiments/aspdac/results/reviewer_extension_20260717/raw/stage/holdout_rect_64x384x128/r0/result.json,1c69fe8617a908b818189f1e018a33095c3f4355dcd69faf90a8a900c9243427,Independent schedulers; cross-tool timing is Trend evidence
4x4 WS hold-out,holdout_rect_64x384x128,STAGE,1,40,completed,shape_and_frozen_mapping_contract,764bce7677c7bc4e36461844023834f2d3f34020d2a1c4305bbc32acc688d418,206848,,,95.5223880597015,,Trend,Independent schedulers; cross-tool timing is Trend evidence,raw/stage/holdout_rect_64x384x128/r1/result.json,experiments/aspdac/results/reviewer_extension_20260717/raw/stage/holdout_rect_64x384x128/r1/result.json,30cb6aec2eadbb57c5c697570ffa9db719f49168a0b121cbc33aba0d7bc67b74,Independent schedulers; cross-tool timing is Trend evidence
CNN finite packet trace,sequential_network,BookSim2,0,40,completed,7844f237c4b3461cf0ed1df81aecce1b664d3abb6a6da77861173cc01f4c145a,7b0ce4c673608edcf7acc31b7795265d6130375843ca079a055d5d5abb97300c,51524,15252.501227027322,31203.0,,,Exact input; Numerical descriptive runtime,Same finite packet input; native cycle models are not cycle-equivalent,experiments/aspdac/results/external_rerun_20260717/raw/mnist_cnn_noc_booksim2/c-2b4cf12a6ed1af66.json,experiments/aspdac/results/external_rerun_20260717/raw/mnist_cnn_noc_booksim2/c-2b4cf12a6ed1af66.json,d72c92471c5be1841d140880b25d68c40cc41e489b360e93a1a40b3406242505,Same finite packet input; native cycle models are not cycle-equivalent
CNN finite packet trace,sequential_network,BookSim2,1,40,completed,7844f237c4b3461cf0ed1df81aecce1b664d3abb6a6da77861173cc01f4c145a,7b0ce4c673608edcf7acc31b7795265d6130375843ca079a055d5d5abb97300c,51524,15252.501227027322,31203.0,,,Exact input; Numerical descriptive runtime,Same finite packet input; native cycle models are not cycle-equivalent,experiments/aspdac/results/external_rerun_20260717/raw/mnist_cnn_noc_booksim2/c-a468e81cb3dd1e73.json,experiments/aspdac/results/external_rerun_20260717/raw/mnist_cnn_noc_booksim2/c-a468e81cb3dd1e73.json,9010b55e3d663b951cc59a86c342ef932fbcd735ffdbe1802a77502ef18cfef4,Same finite packet input; native cycle models are not cycle-equivalent
CNN finite packet trace,sequential_network,STAGE,0,40,completed,7844f237c4b3461cf0ed1df81aecce1b664d3abb6a6da77861173cc01f4c145a,7b0ce4c673608edcf7acc31b7795265d6130375843ca079a055d5d5abb97300c,18537,24.75786660849648,73,,,Exact input; Numerical descriptive runtime,Same finite packet input; native cycle models are not cycle-equivalent,experiments/aspdac/results/external_rerun_20260717/raw/mnist_cnn_noc_stage/c-ac9428758cfe0dd6.json,experiments/aspdac/results/external_rerun_20260717/raw/mnist_cnn_noc_stage/c-ac9428758cfe0dd6.json,1f7be28eb9347653e4e15b94cf64bd56ad4b79e2e63a8aa03c6ea266b94d8ef5,Same finite packet input; native cycle models are not cycle-equivalent
CNN finite packet trace,sequential_network,STAGE,1,40,completed,7844f237c4b3461cf0ed1df81aecce1b664d3abb6a6da77861173cc01f4c145a,7b0ce4c673608edcf7acc31b7795265d6130375843ca079a055d5d5abb97300c,18537,24.75786660849648,73,,,Exact input; Numerical descriptive runtime,Same finite packet input; native cycle models are not cycle-equivalent,experiments/aspdac/results/external_rerun_20260717/raw/mnist_cnn_noc_stage/c-ef1ce5224f4cb0da.json,experiments/aspdac/results/external_rerun_20260717/raw/mnist_cnn_noc_stage/c-ef1ce5224f4cb0da.json,0e999b5ead4db769db9accb63112647b2c70ace1b3968a7b370da19d7f1a6c39,Same finite packet input; native cycle models are not cycle-equivalent
NoC independent oracle,noc_n01_single_128,STAGE,0,,completed,eb27dd9911b609414d5d4be795575d742237ca9dbd623481e29ef338b30a3cf0,,,,,,,Exact,Exact only for supported registered oracle cases,raw/stage/noc_n01_single_128/r0/result.json,experiments/aspdac/results/reviewer_extension_20260717/raw/stage/noc_n01_single_128/r0/result.json,f0296cf03564147d34f786f62d8a0dfafeceb1f051a86cc56bce0cf27411a698,Exact only for supported registered oracle cases
NoC independent oracle,noc_n01_single_128,STAGE,1,,completed,eb27dd9911b609414d5d4be795575d742237ca9dbd623481e29ef338b30a3cf0,,,,,,,Exact,Exact only for supported registered oracle cases,raw/stage/noc_n01_single_128/r1/result.json,experiments/aspdac/results/reviewer_extension_20260717/raw/stage/noc_n01_single_128/r1/result.json,7507d35c70ff5a809225cc65834cdf76855002d0f6615885534abed5dcfac6b6,Exact only for supported registered oracle cases
NoC independent oracle,noc_n02_single_256_vc1,STAGE,0,,completed,aa559a872cae7d6f7a513b86c42a3eb04e4b1c9d344f92cbc648f4e2aaa0142b,,,,,,,Exact,Exact only for supported registered oracle cases,raw/stage/noc_n02_single_256_vc1/r0/result.json,experiments/aspdac/results/reviewer_extension_20260717/raw/stage/noc_n02_single_256_vc1/r0/result.json,f78f9d07d3dfb9a00ef63b52bb1a190bc8869baec803be95a71facc46dc9d92e,Exact only for supported registered oracle cases
NoC independent oracle,noc_n02_single_256_vc1,STAGE,1,,completed,aa559a872cae7d6f7a513b86c42a3eb04e4b1c9d344f92cbc648f4e2aaa0142b,,,,,,,Exact,Exact only for supported registered oracle cases,raw/stage/noc_n02_single_256_vc1/r1/result.json,experiments/aspdac/results/reviewer_extension_20260717/raw/stage/noc_n02_single_256_vc1/r1/result.json,3ec45461bf881fb42acf4b4089f5f5c3579b29bee036cc02f1e17d4a50f621f3,Exact only for supported registered oracle cases
