candidate_id,architecture,repeat,profile,component,energy_pj,scales_with,activity,activity_unit,owner
rfbr1-fb217cb86a22544d7a71,H4,0,nominal,wdm_mux_demux_passive,0,loss_budget_not_dynamic_bits,1,present_boolean,sidecar_loss_budget
rfbr1-fb217cb86a22544d7a71,H4,0,nominal,waveguide_passive,0,length_loss_not_dynamic_bits,0.13825,mm,sidecar_loss_budget
rfbr1-fb217cb86a22544d7a71,H4,0,nominal,laser,53949.5747046,execution_time_x_provisioned_tx_lanes,22784,lane_ns,sidecar_static_laser
rfbr1-fb217cb86a22544d7a71,H4,0,nominal,thermal_tuning,88857.6,execution_time_x_active_resonators,22784,resonator_ns,sidecar_static_tuning
rfbr1-fb217cb86a22544d7a71,H4,0,high,serializer,38502.4,original_bit_count,4096,original_bit,sidecar_serdes_tx
rfbr1-fb217cb86a22544d7a71,H4,0,high,deserializer_cdr,25301.76,encoded_bit_count,4224,encoded_bit,sidecar_serdes_rx
rfbr1-fb217cb86a22544d7a71,H4,0,high,gearbox,0,encoded_bit_count_if_instantiated,0,encoded_bit,explicitly_excluded_no_rate_conversion
rfbr1-fb217cb86a22544d7a71,H4,0,high,eo_modulator_driver,6504.96,encoded_bit_count,4224,encoded_bit,sidecar_eo
rfbr1-fb217cb86a22544d7a71,H4,0,high,oe_receiver_tia,14361.6,encoded_bit_count,4224,encoded_bit,sidecar_oe
rfbr1-fb217cb86a22544d7a71,H4,0,high,wdm_mux_demux_passive,0,loss_budget_not_dynamic_bits,1,present_boolean,sidecar_loss_budget
rfbr1-fb217cb86a22544d7a71,H4,0,high,waveguide_passive,0,length_loss_not_dynamic_bits,0.13825,mm,sidecar_loss_budget
