config_id,family,family_label,family_position,workload,shape,M,N,K,precision,timeloop_compute_cycles,stage_matched_compute_cycles,cycle_pair_sum,timeloop_cycle_fraction,stage_cycle_fraction,timeloop_cycle_percent,stage_cycle_percent,cycle_signed_error,cycle_absolute_error,cycle_relative_error,cycle_exact_match,accelergy_shared_ert_energy_pj,stage_matched_energy_pj,energy_pair_sum_pj,accelergy_energy_fraction,stage_energy_fraction,accelergy_energy_percent,stage_energy_percent,energy_signed_error_pj,energy_absolute_error_pj,energy_relative_error,energy_exact_match,cycle_small_result_flag,energy_small_result_flag,cycle_zero_component_flag,energy_zero_component_flag,normalization_status
C21,mlp_l1,MLP-L1,6,mlp_l1_m256,M=256;N=256;K=512,256,256,512,int16,2097152,2097152,4194304,0.500000000000000000,0.500000000000000000,50.000000000000000,50.000000000000000,0,0,0.000000000000000000E+18,True,2071466604.6810226,2071466604.6810226,4142933209.3620452,0.500000000000000000,0.500000000000000000,50.000000000000000,50.000000000000000,0.0,0.0,0.000000000000000000E+17,True,False,False,False,False,ok
C22,mlp_l2,MLP-L2,1,mlp_l2_m032,M=32;N=128;K=256,32,128,256,int16,65536,65536,131072,0.500000000000000000,0.500000000000000000,50.000000000000000,50.000000000000000,0,0,0.000000000000000000E+18,True,68734885.53644195,68734885.53644195,137469771.07288390,0.500000000000000000,0.500000000000000000,50.000000000000000,50.000000000000000,0.0,0.0,0.000000000000000000E+17,True,False,False,False,False,ok
C23,mlp_l2,MLP-L2,2,mlp_l2_m064,M=64;N=128;K=256,64,128,256,int16,131072,131072,262144,0.500000000000000000,0.500000000000000000,50.000000000000000,50.000000000000000,0,0,0.000000000000000000E+18,True,132554031.46584392,132554031.46584392,265108062.93168784,0.500000000000000000,0.500000000000000000,50.000000000000000,50.000000000000000,0.0,0.0,0.000000000000000000E+17,True,False,False,False,False,ok
C24,mlp_l2,MLP-L2,3,mlp_l2_m096,M=96;N=128;K=256,96,128,256,int16,196608,196608,393216,0.500000000000000000,0.500000000000000000,50.000000000000000,50.000000000000000,0,0,0.000000000000000000E+18,True,196373177.39524588,196373177.39524588,392746354.79049176,0.500000000000000000,0.500000000000000000,50.000000000000000,50.000000000000000,0.0,0.0,0.000000000000000000E+17,True,False,False,False,False,ok
C25,mlp_l2,MLP-L2,4,mlp_l2_m128,M=128;N=128;K=256,128,128,256,int16,262144,262144,524288,0.500000000000000000,0.500000000000000000,50.000000000000000,50.000000000000000,0,0,0.000000000000000000E+18,True,260192323.32464784,260192323.3246478,520384646.64929564,0.500000000000000038,0.499999999999999962,50.000000000000004,49.999999999999996,-0.000000029802322387695312,0.000000029802322387695312,1.145395913564685700E-16,True,False,False,False,False,ok
C26,mlp_l2,MLP-L2,5,mlp_l2_m192,M=192;N=128;K=256,192,128,256,int16,393216,393216,786432,0.500000000000000000,0.500000000000000000,50.000000000000000,50.000000000000000,0,0,0.000000000000000000E+18,True,387830615.1834518,387830615.1834518,775661230.3669036,0.500000000000000000,0.500000000000000000,50.000000000000000,50.000000000000000,0.0,0.0,0.000000000000000000E+17,True,False,False,False,False,ok
C27,mlp_l2,MLP-L2,6,mlp_l2_m256,M=256;N=128;K=256,256,128,256,int16,524288,524288,1048576,0.500000000000000000,0.500000000000000000,50.000000000000000,50.000000000000000,0,0,0.000000000000000000E+18,True,515468907.04225564,515468907.0422557,1030937814.08451134,0.499999999999999971,0.500000000000000029,49.999999999999997,50.000000000000003,0.00000005960464477539063,0.00000005960464477539063,1.156318915866336200E-16,True,False,False,False,False,ok
C28,attention_qk,Attention QK,1,attention_qk_s064_d064,M=64;N=64;K=64,64,64,64,int16,16384,16384,32768,0.500000000000000000,0.500000000000000000,50.000000000000000,50.000000000000000,0,0,0.000000000000000000E+18,True,16119676.90923049,16119676.90923049,32239353.81846098,0.500000000000000000,0.500000000000000000,50.000000000000000,50.000000000000000,0.0,0.0,0.000000000000000000E+17,True,False,False,False,False,ok
C29,attention_qk,Attention QK,2,attention_qk_s064_d128,M=64;N=64;K=128,64,64,128,int16,32768,32768,65536,0.500000000000000000,0.500000000000000000,50.000000000000000,50.000000000000000,0,0,0.000000000000000000E+18,True,32838789.85046098,32838789.85046098,65677579.70092196,0.500000000000000000,0.500000000000000000,50.000000000000000,50.000000000000000,0.0,0.0,0.000000000000000000E+17,True,False,False,False,False,ok
C30,attention_qk,Attention QK,3,attention_qk_s096_d064,M=96;N=96;K=64,96,96,64,int16,36864,36864,73728,0.500000000000000000,0.500000000000000000,50.000000000000000,50.000000000000000,0,0,0.000000000000000000E+18,True,35808422.4576086,35808422.4576086,71616844.9152172,0.500000000000000000,0.500000000000000000,50.000000000000000,50.000000000000000,0.0,0.0,0.000000000000000000E+17,True,False,False,False,False,ok
